2024-03-21 22:55:54.051 | INFO     | __main__:<module>:49 - Initializing at https://mainnet.nimble.technology:443
2024-03-21 22:55:54.052 | INFO     | __main__:perform:196 - Performing Task
2024-03-21 22:56:04.062 | INFO     | __main__:register_particle:157 - Registering particle
2024-03-21 22:56:04.405 | INFO     | __main__:execute:65 - Executing task
2024-03-21 22:56:05.047 | INFO     | __main__:execute:92 - Model loaded on cuda
2024-03-21 22:56:08.114 | DEBUG    | __main__:execute:95 - DatasetDict({
    train: Dataset({
        features: ['label', 'text'],
        num_rows: 650000
    })
    test: Dataset({
        features: ['label', 'text'],
        num_rows: 50000
    })
})
2024-03-21 22:56:08.115 | INFO     | __main__:execute:96 - Dataset yelp_review_full loaded
2024-03-21 22:56:08.132 | INFO     | __main__:tokenize_function:73 - Tokenizing task
2024-03-21 22:56:08.668 | INFO     | __main__:tokenize_function:73 - Tokenizing task
2024-03-21 22:56:08.938 | INFO     | __main__:tokenize_function:73 - Tokenizing task
2024-03-21 22:56:09.210 | INFO     | __main__:tokenize_function:73 - Tokenizing task
2024-03-21 22:56:09.474 | INFO     | __main__:tokenize_function:73 - Tokenizing task
2024-03-21 22:56:09.753 | INFO     | __main__:tokenize_function:73 - Tokenizing task
2024-03-21 22:56:10.025 | INFO     | __main__:tokenize_function:73 - Tokenizing task
2024-03-21 22:56:10.542 | INFO     | __main__:tokenize_function:73 - Tokenizing task
2024-03-21 22:56:10.813 | INFO     | __main__:tokenize_function:73 - Tokenizing task
2024-03-21 22:56:11.080 | INFO     | __main__:tokenize_function:73 - Tokenizing task
2024-03-21 22:56:11.360 | INFO     | __main__:tokenize_function:73 - Tokenizing task
2024-03-21 22:56:11.635 | INFO     | __main__:tokenize_function:73 - Tokenizing task
2024-03-21 22:56:11.900 | INFO     | __main__:tokenize_function:73 - Tokenizing task
2024-03-21 22:56:12.181 | INFO     | __main__:tokenize_function:73 - Tokenizing task
2024-03-21 22:56:12.448 | INFO     | __main__:tokenize_function:73 - Tokenizing task
2024-03-21 22:56:12.715 | INFO     | __main__:tokenize_function:73 - Tokenizing task
2024-03-21 22:56:12.981 | INFO     | __main__:tokenize_function:73 - Tokenizing task
2024-03-21 22:56:13.271 | INFO     | __main__:tokenize_function:73 - Tokenizing task
2024-03-21 22:56:13.543 | INFO     | __main__:tokenize_function:73 - Tokenizing task
2024-03-21 22:56:13.812 | INFO     | __main__:tokenize_function:73 - Tokenizing task
2024-03-21 22:56:14.080 | INFO     | __main__:tokenize_function:73 - Tokenizing task
2024-03-21 22:56:14.349 | INFO     | __main__:tokenize_function:73 - Tokenizing task
2024-03-21 22:56:14.647 | INFO     | __main__:tokenize_function:73 - Tokenizing task
2024-03-21 22:56:14.921 | INFO     | __main__:tokenize_function:73 - Tokenizing task
2024-03-21 22:56:15.197 | INFO     | __main__:tokenize_function:73 - Tokenizing task
2024-03-21 22:56:15.469 | INFO     | __main__:tokenize_function:73 - Tokenizing task
2024-03-21 22:56:15.732 | INFO     | __main__:tokenize_function:73 - Tokenizing task
